"id","name","description","status","price","duration","image_url"
"1","аудит","Настройка и оптимизация облачных сервисов (AWS, Azure, Google Cloud) для повышения их эффективности и снижения затрат.","D","75000.00",8,"http://91.135.156.74:9000/images/2.png"
"2","Аудит информационной безопасности","Проведение анализа текущей системы безопасности организации для выявления уязвимостей и несоответствий стандартам.","A","50000.00",5,"http://91.135.156.74:9000/images/1.png"
"3","Пентест веб-приложений","Эмуляция хакерских атак для проверки уровня защиты веб-приложений и сервисов.","A","120000.00",12,"http://91.135.156.74:9000/images/4.png"
"4","Обучение сотрудников кибербезопасности","Проведение тренингов для сотрудников по вопросам защиты данных и предотвращения кибератак.","A","30000.00",4,"http://91.135.156.74:9000/images/5.png"
"5","Консалтинг по GDPR и другим стандартам защиты данных","Подготовка компании к соблюдению международных стандартов защиты данных.","A","90000.00",7,"http://91.135.156.74:9000/images/8.png"
"6","wrtwert","twtwt","D","13123.00",11,"http://91.135.156.74:9000/images/6_7.png"
"7","rr","aa","D","112.00",12,""
"8","11","1","D","1.00",7,""
"9","1","1","D","1.00",10,NULL
"10","1","1","D","1.00",1,NULL
"11","1","1","D","1.00",1,""
"12","1","1","D","1.00",1,""
"13","12","123","D","12.00",8,""
"14","weewq","qweqwe","D","1.00",1,""
"17","Поле","1","D","1000.00",1,NULL
"18","Оптимизация облачных решений","Настройка и оптимизация облачных сервисов (AWS, Azure, Google Cloud) для повышения их эффективности и снижения затрат.","A","75000.00",8,"http://91.135.156.74:9000/images/2.png"
"19","No_IMG","test no img ( http://91.135.156.74:9000/images/3.png )","A","910000.00",9,NULL
